Time,BOI_FLOW_1,BOI_FLOW_2,BOI_GAS_CSUM_1,BOI_GAS_CSUM_2,BOI_RW_TEMP_1,BOI_RW_TEMP_2,BOI_STA_1,BOI_STA_2,BOI_SW_TEMP_1,BOI_SW_TEMP_2,HWL_DP,HWL_DPSPT,HWL_RW_TEMP,HWL_SW_TEMP,OA_TEMP,PM_POW_1,PM_POW_2,PM_SPD_1,PM_SPD_2,PM_STA_1,PM_STA_2,SEC_POW
1,364.5661011,0.000679879,1726.88233,0,99.93983459,68.00241089,1,0,124.9279633,175.9840088,336.0474638,480.5220059,112.7349548,124.921814,9.070051,11.44608402,11.44608402,1,1,1,1,501.2023922
2,364.5661011,0.000679879,1726.88233,0,100.435318,68.00252533,1,0,125.4323425,175.9835205,336.0474638,480.5220059,113.1307373,125.4262466,8.771828,11.44608402,11.44608402,1,1,1,1,501.9431658
3,364.5661011,0.000679879,1726.88233,0,100.9272842,68.00263977,1,0,125.931839,175.983078,336.0474638,480.5220059,113.5369034,125.9257965,8.786055,11.44608402,11.44608402,1,1,1,1,503.3526471
4,364.5661011,0.000679879,1726.88233,0,101.4161758,68.00274658,1,0,126.4271545,175.9825897,336.0474638,480.5220059,113.9551468,126.4211731,8.800337,11.44608402,11.44608402,1,1,1,1,503.1945929
5,364.5661011,0.000679879,1726.88233,0,101.9025421,68.00285339,1,0,126.9189606,175.9820862,336.0474638,480.5220059,114.3815308,126.9129715,8.814619,11.44608402,11.44608402,1,1,1,1,503.8959446
6,364.5661011,0.000679879,1726.88233,0,102.3906097,68.00296021,1,0,127.4084015,175.9815979,336.0474638,480.5220059,114.9772644,127.4024658,8.828846,11.44608402,11.44608402,1,1,1,1,434.8698321
7,364.5661011,0.000679879,1726.88233,0,102.8993912,68.00307465,1,0,127.9021835,175.9810944,336.0474638,480.5220059,116.2891922,127.8961411,8.85741,11.44608402,11.44608402,1,1,1,1,124.5064894
8,364.5661011,0.000679879,1726.88233,0,103.435463,68.00318909,1,0,128.4089355,175.9806061,336.0474638,480.5220059,117.5881653,128.4026642,8.85741,11.44608402,11.44608402,1,1,1,1,606.8215634
9,364.5661011,0.000679879,1726.88233,0,103.973465,68.0032959,1,0,128.9315491,175.9801178,336.0474638,480.5220059,117.5872269,128.9251709,8.871637,11.44608402,11.44608402,1,1,1,1,606.8215634
10,364.5661011,0.000679879,1726.88233,0,104.4939423,68.00340271,1,0,129.4558716,175.9796753,336.0474638,480.5220059,117.6681976,129.4494934,8.88592,11.44608402,11.44608402,1,1,1,1,586.5959781
11,364.5661011,0.000679879,1726.88233,0,105.0026093,68.00350952,1,0,129.9745789,175.9791718,336.0474638,480.5220059,118.0441513,129.9683228,8.9001465,11.44608402,11.44608402,1,1,1,1,487.799259
12,364.5661011,0.000679879,1726.88233,0,105.5043564,68.00367737,1,0,130.4870911,175.9786835,336.0474638,480.5220059,118.3428116,130.480896,8.914429,11.44608402,11.44608402,1,1,1,1,531.0289443
13,364.5661011,0.000679879,1726.88233,0,106.0009918,68.00378418,1,0,130.9942322,175.978241,336.0474638,480.5220059,118.7125549,130.9881287,8.928711,11.44608402,11.44608402,1,1,1,1,509.6825813
14,364.5661011,0.000679879,1726.88233,0,106.4932938,68.00389862,1,0,131.4955444,175.9777527,336.0474638,480.5220059,119.1033936,131.489502,8.957222,11.44608402,11.44608402,1,1,1,1,508.605109
15,364.5661011,0.000679879,1726.88233,0,106.9819641,68.00401306,1,0,131.9918518,175.9772491,336.0474638,480.5220059,119.5090637,131.9858551,8.971449,11.44608402,11.44608402,1,1,1,1,508.2526563
16,364.5661011,0.000679879,1726.88233,0,107.4676666,68.00417328,1,0,132.4839783,175.9768219,336.0474638,480.5220059,119.9255066,132.4779968,8.971449,11.44608402,11.44608402,1,1,1,1,507.3794381
17,364.5661011,0.000679879,1726.88233,0,107.9510117,68.00428772,1,0,132.9725952,175.9763184,336.0474638,480.5220059,120.3543549,132.9666595,8.985731,11.44608402,11.44608402,1,1,1,1,507.3794381
18,364.5661011,0.000679879,1726.88233,0,108.4323807,68.00439453,1,0,133.4583435,175.9758759,336.0474638,480.5220059,120.7877655,133.4524841,8.999958,11.44608402,11.44608402,1,1,1,1,508.6384858
19,364.5661011,0.000679879,1726.88233,0,108.9119873,68.00450134,1,0,133.9416962,175.9753876,336.0474638,480.5220059,121.2281494,133.9358215,9.01424,11.44608402,11.44608402,1,1,1,1,508.4874294
20,364.5661011,0.000679879,1726.88233,0,109.3903275,68.00466919,1,0,134.4230042,175.9749451,336.0474638,480.5220059,121.6756821,134.4171753,9.0285225,11.44608402,11.44608402,1,1,1,1,507.7583431
21,364.5661011,0.000679879,1726.88233,0,109.8675232,68.004776,1,0,134.9027252,175.9744568,336.0474638,480.5220059,122.1262817,134.8969116,9.042749,11.44608402,11.44608402,1,1,1,1,508.281893
22,364.5661011,0.000679879,1726.88233,0,110.3437271,68.00494385,1,0,135.381012,175.9740143,336.0474638,480.5220059,122.5785904,135.3751831,9.057032,11.44608402,11.44608402,1,1,1,1,509.1039286
